Modelis,Kebulas,Pavara,Variklis,Kuras,Gamybos_metai,Rida,Kaina,Miestas,Web_linkas,k,Gamintojas
BMW 525,Universalas,Automatinė,"2.0 l., 160 kW",Dyzelinas,2013-12,263 750 km,12 999 €,Marijampolė,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2013-dyzelinas-25713782.html,12999.0,BMW
Mercedes-Benz C220,Universalas,Automatinė,"2.1 l., 125 kW",Dyzelinas,2016-12,230 700 km,16 999 €,Marijampolė,https://autoplius.lt/skelbimai/mercedes-benz-c220-2-1-l-universalas-2016-dyzelinas-25713824.html,16999.0,Mercedes-Benz
Audi A6,Universalas,Automatinė,"3.0 l., 240 kW",Dyzelinas,2015-01,203 000 km,19 999 €,Marijampolė,https://autoplius.lt/skelbimai/audi-a6-3-0-l-universalas-2015-dyzelinas-25713638.html,19999.0,Audi
BMW 730,Sedanas,Automatinė,"3.0 l., 195 kW",Dyzelinas,2016-11,242 000 km,24 999 €,Marijampolė,https://autoplius.lt/skelbimai/bmw-730-3-0-l-sedanas-2016-dyzelinas-25713606.html,24999.0,BMW
BMW 730,Sedanas,Automatinė,"3.0 l., 195 kW",Dyzelinas,2016-09,239 900 km,24 999 €,Marijampolė,https://autoplius.lt/skelbimai/bmw-730-3-0-l-sedanas-2016-dyzelinas-25713582.html,24999.0,BMW
BMW X5,Visureigis / Krosoveris,Automatinė,"3.0 l., 230 kW",Dyzelinas,2016-11,209 500 km,27 999 €,Marijampolė,https://autoplius.lt/skelbimai/bmw-x5-3-0-l-visureigis-krosoveris-2016-dyzelinas-25713704.html,27999.0,BMW
Mercedes-Benz GL350,Visureigis / Krosoveris,Automatinė,"3.0 l., 190 kW",Dyzelinas,2014-11,194 000 km,29 999 €,Marijampolė,https://autoplius.lt/skelbimai/mercedes-benz-gl350-3-0-l-visureigis-krosoveris-2014-dyzelinas-25713868.html,29999.0,Mercedes-Benz
Mercedes-Benz GLE350,Visureigis / Krosoveris,Automatinė,"3.0 l., 190 kW",Dyzelinas,2018-06,280 330 km,25 200 €,Kaunas,https://autoplius.lt/skelbimai/mercedes-benz-gle350-3-0-l-visureigis-krosoveris-2018-dyzelinas-23964777.html,25200.0,Mercedes-Benz
Mercedes-Benz CLS350,Kupė (Coupe),Automatinė,"3.0 l., 195 kW",Dyzelinas,2011-03,283 000 km,12 400 €,Kaunas,https://autoplius.lt/skelbimai/mercedes-benz-cls350-3-0-l-kupe-coupe-2011-dyzelinas-25017869.html,12400.0,Mercedes-Benz
BMW 535,Sedanas,Automatinė,"3.0 l., 225 kW",Benzinas,2011-04,284 000 km,7 700 €,Vilnius,https://autoplius.lt/skelbimai/bmw-535-3-0-l-sedanas-2011-benzinas-25599209.html,7700.0,BMW
Seat Leon,Universalas,Automatinė,"2.0 l., 110 kW",Dyzelinas,2016-01,233 170 km,8 250 €,Raseiniai,https://autoplius.lt/skelbimai/seat-leon-2-0-l-universalas-2016-dyzelinas-25709876.html,8250.0,Seat
Mercedes-Benz C220,Universalas,Automatinė,"2.1 l., 125 kW",Dyzelinas,2018-07,203 000 km,16 250 €,Kaunas,https://autoplius.lt/skelbimai/mercedes-benz-c220-2-1-l-universalas-2018-dyzelinas-24877541.html,16250.0,Mercedes-Benz
BMW 320,Universalas,Automatinė,"2.0 l., 140 kW",Dyzelinas / elektra,2021-11,70 000 km,23 500 €,Kaunas,https://autoplius.lt/skelbimai/bmw-320-2-0-l-universalas-2021-dyzelinas-elektra-25555117.html,23500.0,BMW
BMW 525,Universalas,Automatinė,"2.0 l., 160 kW",Dyzelinas,2013-12,263 750 km,12 999 €,Marijampolė,https://autoplius.lt/skelbimai/bmw-525-2-0-l-universalas-2013-dyzelinas-25713782.html,12999.0,BMW
Mercedes-Benz C220,Universalas,Automatinė,"2.1 l., 125 kW",Dyzelinas,2016-12,230 700 km,16 999 €,Marijampolė,https://autoplius.lt/skelbimai/mercedes-benz-c220-2-1-l-universalas-2016-dyzelinas-25713824.html,16999.0,Mercedes-Benz
Audi A6,Universalas,Automatinė,"3.0 l., 240 kW",Dyzelinas,2015-01,203 000 km,19 999 €,Marijampolė,https://autoplius.lt/skelbimai/audi-a6-3-0-l-universalas-2015-dyzelinas-25713638.html,19999.0,Audi
BMW 730,Sedanas,Automatinė,"3.0 l., 195 kW",Dyzelinas,2016-11,242 000 km,24 999 €,Marijampolė,https://autoplius.lt/skelbimai/bmw-730-3-0-l-sedanas-2016-dyzelinas-25713606.html,24999.0,BMW
BMW 730,Sedanas,Automatinė,"3.0 l., 195 kW",Dyzelinas,2016-09,239 900 km,24 999 €,Marijampolė,https://autoplius.lt/skelbimai/bmw-730-3-0-l-sedanas-2016-dyzelinas-25713582.html,24999.0,BMW
BMW X5,Visureigis / Krosoveris,Automatinė,"3.0 l., 230 kW",Dyzelinas,2016-11,209 500 km,27 999 €,Marijampolė,https://autoplius.lt/skelbimai/bmw-x5-3-0-l-visureigis-krosoveris-2016-dyzelinas-25713704.html,27999.0,BMW
Mercedes-Benz GL350,Visureigis / Krosoveris,Automatinė,"3.0 l., 190 kW",Dyzelinas,2014-11,194 000 km,29 999 €,Marijampolė,https://autoplius.lt/skelbimai/mercedes-benz-gl350-3-0-l-visureigis-krosoveris-2014-dyzelinas-25713868.html,29999.0,Mercedes-Benz
BMW 330,Universalas,Automatinė,"3.0 l., 170 kW",Dyzelinas,2006-12,292 000 km,3 300 €,Vilnius,https://autoplius.lt/skelbimai/bmw-330-3-0-l-universalas-2006-dyzelinas-25713844.html,3300.0,BMW
Mercedes-Benz GLE350,Visureigis / Krosoveris,Automatinė,"3.0 l., 190 kW",Dyzelinas,2018-06,280 330 km,25 200 €,Kaunas,https://autoplius.lt/skelbimai/mercedes-benz-gle350-3-0-l-visureigis-krosoveris-2018-dyzelinas-23964777.html,25200.0,Mercedes-Benz
BMW X3,Vienatūris,Automatinė,"3.0 l., 265 kW",Benzinas,2022-09,45 000 km,58 900 €,Nenurodyta,https://autoplius.lt/skelbimai/bmw-x3-3-0-l-vienaturis-2022-benzinas-25126534.html,58900.0,BMW
Volkswagen Jetta,Sedanas,Mechaninė,"2.0 l., 147 kW",Benzinas,2006-08,Nenurodyta,1 700 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-jetta-2-0-l-sedanas-2006-benzinas-25710136.html,1700.0,Volkswagen
BMW 320,Universalas,Automatinė,"2.0 l., 130 kW",Dyzelinas,2009-06,278 335 km,5 300 €,Kaunas,https://autoplius.lt/skelbimai/bmw-320-2-0-l-universalas-2009-dyzelinas-25666545.html,5300.0,BMW
Mercedes-Benz CLS350,Kupė (Coupe),Automatinė,"3.0 l., 195 kW",Dyzelinas,2011-03,283 000 km,12 400 €,Kaunas,https://autoplius.lt/skelbimai/mercedes-benz-cls350-3-0-l-kupe-coupe-2011-dyzelinas-25017869.html,12400.0,Mercedes-Benz
Volkswagen Golf,Hečbekas,Automatinė,"2.0 l., 135 kW",Dyzelinas,2015-05,175 000 km,13 500 €,Kaunas,https://autoplius.lt/skelbimai/volkswagen-golf-2-0-l-hecbekas-2015-dyzelinas-25657307.html,13500.0,Volkswagen
Toyota Avensis,Universalas,Automatinė,"2.2 l., 110 kW",Dyzelinas,2010-09,194 000 km,5 150 €,Vilnius,https://autoplius.lt/skelbimai/toyota-avensis-2-2-l-universalas-2010-dyzelinas-25588169.html,5150.0,Toyota
BMW X5,Visureigis / Krosoveris,Automatinė,"4.8 l., 265 kW",Benzinas,2008-10,265 000 km,6 500 €,Vilnius,https://autoplius.lt/skelbimai/bmw-x5-4-8-l-visureigis-krosoveris-2008-benzinas-25686848.html,6500.0,BMW
BMW 535,Sedanas,Automatinė,"3.0 l., 225 kW",Benzinas,2011-04,284 000 km,7 700 €,Vilnius,https://autoplius.lt/skelbimai/bmw-535-3-0-l-sedanas-2011-benzinas-25599209.html,7700.0,BMW
Seat Leon,Universalas,Automatinė,"2.0 l., 110 kW",Dyzelinas,2016-01,233 170 km,8 250 €,Raseiniai,https://autoplius.lt/skelbimai/seat-leon-2-0-l-universalas-2016-dyzelinas-25709876.html,8250.0,Seat
BMW 320,Universalas,Mechaninė,"2.0 l., 120 kW",Dyzelinas,2013-07,357 333 km,8 800 €,Kaunas,https://autoplius.lt/skelbimai/bmw-320-2-0-l-universalas-2013-dyzelinas-25703234.html,8800.0,BMW
Mercedes-Benz E350,Limuzinas,Automatinė,"3.5 l., 225 kW",Benzinas,2014-12,164 000 km,15 500 €,Klaipėda,https://autoplius.lt/skelbimai/mercedes-benz-e350-3-5-l-limuzinas-2014-benzinas-25694050.html,15500.0,Mercedes-Benz
Mercedes-Benz M klasė,Visureigis / Krosoveris,Automatinė,"4.7 l., 300 kW",Benzinas,2013-08,162 500 km,18 900 €,Vilnius,https://autoplius.lt/skelbimai/mercedes-benz-m-klase-4-7-l-visureigis-krosoveris-2013-benzinas-25702606.html,18900.0,Mercedes-Benz
Volkswagen Passat,Sedanas,Automatinė,"1.5 l., 110 kW",Benzinas,2019-03,113 000 km,19 500 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-passat-1-5-l-sedanas-2019-benzinas-25707834.html,19500.0,Volkswagen
Volkswagen Passat,Universalas,Automatinė,"1.4 l., 160 kW",Benzinas / elektra,2020-12,53 120 km,22 900 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-passat-1-4-l-universalas-2020-benzinas-elektra-25671644.html,22900.0,Volkswagen
Audi Q7,Visureigis / Krosoveris,Automatinė,"3.0 l., 200 kW",Dyzelinas,2015-10,272 341 km,24 900 €,Vilnius,https://autoplius.lt/skelbimai/audi-q7-3-0-l-visureigis-krosoveris-2015-dyzelinas-23899036.html,24900.0,Audi
Audi A6,Universalas,Automatinė,"3.0 l., 240 kW",Dyzelinas,2015-05,192 000 km,27 000 €,Utena,https://autoplius.lt/skelbimai/audi-a6-3-0-l-universalas-2015-dyzelinas-25703558.html,27000.0,Audi
Audi A8,Sedanas,Automatinė,"4.1 l., 283 kW",Dyzelinas,2015-11,206 000 km,27 900 €,Klaipėda,https://autoplius.lt/skelbimai/audi-a8-4-1-l-sedanas-2015-dyzelinas-25547617.html,27900.0,Audi
Mercedes-Benz E350,Sedanas,Automatinė,"3.0 l., 190 kW",Dyzelinas,2017-01,285 000 km,28 500 €,Panevėžys,https://autoplius.lt/skelbimai/mercedes-benz-e350-3-0-l-sedanas-2017-dyzelinas-25713924.html,28500.0,Mercedes-Benz
Mercedes-Benz C63 AMG,Sedanas,Automatinė,"6.2 l., 390 kW",Benzinas,2013-06,130 000 km,34 999 €,Panevėžys,https://autoplius.lt/skelbimai/mercedes-benz-c63-amg-6-2-l-sedanas-2013-benzinas-25709436.html,34999.0,Mercedes-Benz
Audi A6,Universalas,Automatinė,"3.0 l., 210 kW",Dyzelinas / elektra,2019-09,178 000 km,39 000 €,Šiauliai,https://autoplius.lt/skelbimai/audi-a6-3-0-l-universalas-2019-dyzelinas-elektra-25703702.html,39000.0,Audi
Audi A3,Hečbekas,Mechaninė,"2.0 l., 125 kW",Dyzelinas,2007-03,213 454 km,2 250 €,Širvintos,https://autoplius.lt/skelbimai/audi-a3-2-0-l-hecbekas-2007-dyzelinas-25708198.html,2250.0,Audi
Volkswagen Passat,Universalas,Mechaninė,"2.0 l., 125 kW",Dyzelinas,2008-06,262 000 km,2 850 €,Alytus,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2008-dyzelinas-25687040.html,2850.0,Volkswagen
BMW 525,Universalas,Automatinė,"3.0 l., 145 kW",Dyzelinas,2008-02,376 924 km,3 850 €,Panevėžys,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2008-dyzelinas-24844545.html,3850.0,BMW
BMW 320,Universalas,Mechaninė,"2.0 l., 120 kW",Dyzelinas,2013-07,357 333 km,8 800 €,Kaunas,https://autoplius.lt/skelbimai/bmw-320-2-0-l-universalas-2013-dyzelinas-25703234.html,8800.0,BMW
Audi A6,Universalas,Automatinė,"3.0 l., 180 kW",Dyzelinas,2013-01,258 000 km,12 000 €,Druskininkai,https://autoplius.lt/skelbimai/audi-a6-3-0-l-universalas-2013-dyzelinas-25400007.html,12000.0,Audi
Mercedes-Benz E350,Limuzinas,Automatinė,"3.5 l., 225 kW",Benzinas,2014-12,164 000 km,15 500 €,Klaipėda,https://autoplius.lt/skelbimai/mercedes-benz-e350-3-5-l-limuzinas-2014-benzinas-25694050.html,15500.0,Mercedes-Benz
Mercedes-Benz M klasė,Visureigis / Krosoveris,Automatinė,"4.7 l., 300 kW",Benzinas,2013-08,162 500 km,18 900 €,Vilnius,https://autoplius.lt/skelbimai/mercedes-benz-m-klase-4-7-l-visureigis-krosoveris-2013-benzinas-25702606.html,18900.0,Mercedes-Benz
Volkswagen Passat,Sedanas,Automatinė,"1.5 l., 110 kW",Benzinas,2019-03,113 000 km,19 500 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-passat-1-5-l-sedanas-2019-benzinas-25707834.html,19500.0,Volkswagen
Volkswagen Passat,Universalas,Automatinė,"1.4 l., 160 kW",Benzinas / elektra,2020-12,53 120 km,22 900 €,Vilnius,https://autoplius.lt/skelbimai/volkswagen-passat-1-4-l-universalas-2020-benzinas-elektra-25671644.html,22900.0,Volkswagen
Audi Q7,Visureigis / Krosoveris,Automatinė,"3.0 l., 200 kW",Dyzelinas,2015-10,272 341 km,24 900 €,Vilnius,https://autoplius.lt/skelbimai/audi-q7-3-0-l-visureigis-krosoveris-2015-dyzelinas-23899036.html,24900.0,Audi
Audi A6,Universalas,Automatinė,"3.0 l., 240 kW",Dyzelinas,2015-05,192 000 km,27 000 €,Utena,https://autoplius.lt/skelbimai/audi-a6-3-0-l-universalas-2015-dyzelinas-25703558.html,27000.0,Audi
Audi A8,Sedanas,Automatinė,"4.1 l., 283 kW",Dyzelinas,2015-11,206 000 km,27 900 €,Klaipėda,https://autoplius.lt/skelbimai/audi-a8-4-1-l-sedanas-2015-dyzelinas-25547617.html,27900.0,Audi
Alfa Romeo Giulia,Sedanas,Automatinė,"2.0 l., 206 kW",Benzinas,2018-11,98 200 km,28 300 €,Vilnius,https://autoplius.lt/skelbimai/alfa-romeo-giulia-2-0-l-sedanas-2018-benzinas-25149712.html,28300.0,Alfa
Mercedes-Benz E350,Sedanas,Automatinė,"3.0 l., 190 kW",Dyzelinas,2017-01,285 000 km,28 500 €,Panevėžys,https://autoplius.lt/skelbimai/mercedes-benz-e350-3-0-l-sedanas-2017-dyzelinas-25713924.html,28500.0,Mercedes-Benz
BMW 330,Sedanas,Automatinė,"2.0 l., 190 kW",Benzinas,2020-04,30 000 km,32 900 €,Jonava,https://autoplius.lt/skelbimai/bmw-330-2-0-l-sedanas-2020-benzinas-25406325.html,32900.0,BMW
Mercedes-Benz C63 AMG,Sedanas,Automatinė,"6.2 l., 390 kW",Benzinas,2013-06,130 000 km,34 999 €,Panevėžys,https://autoplius.lt/skelbimai/mercedes-benz-c63-amg-6-2-l-sedanas-2013-benzinas-25709436.html,34999.0,Mercedes-Benz
Audi A6,Universalas,Automatinė,"3.0 l., 210 kW",Dyzelinas / elektra,2019-09,178 000 km,39 000 €,Šiauliai,https://autoplius.lt/skelbimai/audi-a6-3-0-l-universalas-2019-dyzelinas-elektra-25703702.html,39000.0,Audi
Audi A3,Hečbekas,Mechaninė,"2.0 l., 125 kW",Dyzelinas,2007-03,213 454 km,2 250 €,Širvintos,https://autoplius.lt/skelbimai/audi-a3-2-0-l-hecbekas-2007-dyzelinas-25708198.html,2250.0,Audi
Volkswagen Passat,Universalas,Mechaninė,"2.0 l., 125 kW",Dyzelinas,2009-01,292 383 km,2 750 €,Klaipėda,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2009-dyzelinas-25458775.html,2750.0,Volkswagen
Volkswagen Passat,Universalas,Mechaninė,"2.0 l., 125 kW",Dyzelinas,2008-06,262 000 km,2 850 €,Alytus,https://autoplius.lt/skelbimai/volkswagen-passat-2-0-l-universalas-2008-dyzelinas-25687040.html,2850.0,Volkswagen
BMW 325,Sedanas,Automatinė,"2.5 l., 160 kW",Benzinas,2007-11,260 000 km,2 900 €,Vilnius,https://autoplius.lt/skelbimai/bmw-325-2-5-l-sedanas-2007-benzinas-25356235.html,2900.0,BMW
BMW 525,Universalas,Automatinė,"3.0 l., 145 kW",Dyzelinas,2008-02,376 924 km,3 850 €,Panevėžys,https://autoplius.lt/skelbimai/bmw-525-3-0-l-universalas-2008-dyzelinas-24844545.html,3850.0,BMW
