,kW,Rida,Gamybos_metai
0,160,263750,201312
1,125,230700,201612
2,240,203000,201501
3,195,242000,201611
4,195,239900,201609
5,230,209500,201611
6,190,194000,201411
7,190,280330,201806
8,195,283000,201103
9,225,284000,201104
10,110,233170,201601
11,125,203000,201807
12,140,70000,202111
13,160,263750,201312
14,125,230700,201612
15,240,203000,201501
16,195,242000,201611
17,195,239900,201609
18,230,209500,201611
19,190,194000,201411
20,170,292000,200612
21,190,280330,201806
22,265,45000,202209
23,147,1,200608
24,130,278335,200906
25,195,283000,201103
26,135,175000,201505
27,110,194000,201009
28,265,265000,200810
29,225,284000,201104
30,110,233170,201601
31,120,357333,201307
32,225,164000,201412
33,300,162500,201308
34,110,113000,201903
35,160,53120,202012
36,200,272341,201510
37,240,192000,201505
38,283,206000,201511
39,190,285000,201701
40,390,130000,201306
41,210,178000,201909
42,125,213454,200703
43,125,262000,200806
44,145,376924,200802
45,120,357333,201307
46,180,258000,201301
47,225,164000,201412
48,300,162500,201308
49,110,113000,201903
50,160,53120,202012
51,200,272341,201510
52,240,192000,201505
53,283,206000,201511
54,206,98200,201811
55,190,285000,201701
56,190,30000,202004
57,390,130000,201306
58,210,178000,201909
59,125,213454,200703
60,125,292383,200901
61,125,262000,200806
62,160,260000,200711
63,145,376924,200802
64,180,234000,200611
65,130,262700,201012
66,130,274564,201004
67,136,280000,200909
68,206,254000,201112
69,150,249000,201211
70,140,215000,201501
71,140,181000,201507
72,153,128000,2016
73,180,357218,201306
74,110,136682,201910
75,257,199400,201209
76,185,80500,201805
77,165,367800,200510
78,210,366000,200811
79,110,194008,201001
80,130,262700,201012
81,130,274564,201004
82,136,280000,200909
83,150,271000,201107
84,206,254000,201112
85,150,249000,201211
86,110,104000,201705
87,140,215000,201501
88,176,275182,201011
89,140,181000,201507
90,153,128000,2016
91,135,95800,2017
92,180,357218,201306
93,110,136682,201910
94,257,199400,201209
95,280,196000,201406
96,185,80500,201805
97,140,146357,201910
98,140,148000,201501
99,140,95891,201910
100,180,51314,202106
101,176,144527,202001
102,160,48353,202011
103,180,180000,201904
104,190,243000,201709
105,140,59587,202302
106,143,270000,202009
107,215,120000,201807
108,180,28900,201907
109,160,342546,200505
110,110,342000,200708
111,140,146357,201910
112,140,148000,201501
113,140,95891,201910
114,180,51314,202106
115,176,144527,202001
116,160,48353,202011
117,180,180000,201904
118,190,184250,201404
119,190,243000,201709
120,140,59587,202302
121,143,270000,202009
122,215,120000,201807
123,125,77895,201705
124,200,28000,202111
125,150,64000,202112
126,180,28900,201907
127,324,58800,202008
128,160,342546,200505
129,110,342000,200708
130,171,365306,200710
131,115,189000,200909
132,125,248400,200703
133,120,336000,201101
134,132,295000,200808
135,145,311954,200709
136,120,236860,201103
137,118,346441,201109
138,135,210540,201211
139,145,263827,200910
140,111,166000,201108
141,110,248182,201509
142,115,189000,200909
143,125,248400,200703
144,120,1,200501
145,120,336000,201101
146,170,332456,200701
147,110,195000,200806
148,132,295000,200808
149,135,350000,201012
150,145,311954,200709
151,150,1,200912
152,165,301000,200810
153,120,236860,201103
154,118,346441,201109
155,120,164550,201110
156,149,137000,201411
157,135,210540,201211
158,140,280526,2008
159,145,263827,200910
160,111,166000,201108
161,110,248182,201509
162,140,228800,201111
163,150,362020,201005
164,125,274000,201611
165,118,155000,201301
166,176,293000,200907
167,129,253000,201404
168,300,164000,2010
169,170,283770,201012
170,135,345000,201202
171,156,270000,200901
172,130,328000,201803
173,110,370000,201412
174,132,265000,2017
175,140,283603,201603
176,140,228800,201111
177,165,355258,200607
178,150,362020,201005
179,125,274000,201611
180,125,198000,201110
181,110,339500,201409
182,118,155000,201301
183,176,293000,200907
184,129,253000,201404
185,300,164000,2010
186,170,283770,201012
187,150,288928,201108
188,135,345000,201202
189,156,270000,200901
190,235,142000,200502
191,130,328000,201803
192,110,370000,201412
193,132,265000,2017
194,135,116000,201501
195,140,283603,201603
196,114,244000,201504
197,158,319000,201106
198,176,201000,201010
199,145,246193,201403
200,110,180000,201805
201,287,197000,201201
202,140,301650,201603
203,164,318000,201412
204,225,200000,201411
205,140,320000,201606
206,114,244000,201504
207,180,259145,201107
208,200,298200,201212
209,158,319000,201106
210,176,201000,201010
211,145,246193,201403
212,125,112998,201312
213,110,180000,201805
214,220,376928,201108
215,362,235000,201108
216,287,197000,201201
217,180,181200,2015
218,140,301650,201603
219,158,280000,201401
220,164,318000,201412
221,200,141441,2015
222,160,247000,201605
223,225,200000,201411
224,180,280000,201312
