,k
0,12999.0
1,16999.0
2,19999.0
3,24999.0
4,24999.0
5,27999.0
6,29999.0
7,25200.0
8,12400.0
9,7700.0
10,8250.0
11,16250.0
12,23500.0
13,12999.0
14,16999.0
15,19999.0
16,24999.0
17,24999.0
18,27999.0
19,29999.0
20,3300.0
21,25200.0
22,58900.0
23,1700.0
24,5300.0
25,12400.0
26,13500.0
27,5150.0
28,6500.0
29,7700.0
30,8250.0
31,8800.0
32,15500.0
33,18900.0
34,19500.0
35,22900.0
36,24900.0
37,27000.0
38,27900.0
39,28500.0
40,34999.0
41,39000.0
42,2250.0
43,2850.0
44,3850.0
45,8800.0
46,12000.0
47,15500.0
48,18900.0
49,19500.0
50,22900.0
51,24900.0
52,27000.0
53,27900.0
54,28300.0
55,28500.0
56,32900.0
57,34999.0
58,39000.0
59,2250.0
60,2750.0
61,2850.0
62,2900.0
63,3850.0
64,3999.0
65,5890.0
66,5999.0
67,6770.0
68,9300.0
69,9999.0
70,10900.0
71,12500.0
72,14000.0
73,14500.0
74,14800.0
75,14999.0
76,17950.0
77,4500.0
78,4900.0
79,5700.0
80,5890.0
81,5999.0
82,6770.0
83,9200.0
84,9300.0
85,9999.0
86,10000.0
87,10900.0
88,11500.0
89,12500.0
90,14000.0
91,14350.0
92,14500.0
93,14800.0
94,14999.0
95,16500.0
96,17950.0
97,20000.0
98,22800.0
99,23900.0
100,23900.0
101,25900.0
102,26450.0
103,26900.0
104,27900.0
105,29950.0
106,29999.0
107,30000.0
108,47500.0
109,1900.0
110,2850.0
111,20000.0
112,22800.0
113,23900.0
114,23900.0
115,25900.0
116,26450.0
117,26900.0
118,26950.0
119,27900.0
120,29950.0
121,29999.0
122,30000.0
123,32950.0
124,35950.0
125,39800.0
126,47500.0
127,73696.0
128,1900.0
129,2850.0
130,3300.0
131,3450.0
132,3500.0
133,3600.0
134,4490.0
135,4999.0
136,5750.0
137,5999.0
138,6650.0
139,6800.0
140,6900.0
141,7100.0
142,3450.0
143,3500.0
144,3600.0
145,3600.0
146,3999.0
147,4200.0
148,4490.0
149,4699.0
150,4999.0
151,4999.0
152,5500.0
153,5750.0
154,5999.0
155,6100.0
156,6250.0
157,6650.0
158,6700.0
159,6800.0
160,6900.0
161,7100.0
162,7190.0
163,7500.0
164,7500.0
165,7800.0
166,7800.0
167,7950.0
168,8249.0
169,8500.0
170,9200.0
171,9250.0
172,9999.0
173,10000.0
174,10500.0
175,11000.0
176,7190.0
177,7250.0
178,7500.0
179,7500.0
180,7650.0
181,7800.0
182,7800.0
183,7800.0
184,7950.0
185,8249.0
186,8500.0
187,8999.0
188,9200.0
189,9250.0
190,9990.0
191,9999.0
192,10000.0
193,10500.0
194,10800.0
195,11000.0
196,11100.0
197,11450.0
198,11700.0
199,11900.0
200,12300.0
201,12900.0
202,12999.0
203,13250.0
204,13950.0
205,13999.0
206,11100.0
207,11300.0
208,11300.0
209,11450.0
210,11700.0
211,11900.0
212,12000.0
213,12300.0
214,12400.0
215,12750.0
216,12900.0
217,12989.0
218,12999.0
219,12999.0
220,13250.0
221,13500.0
222,13900.0
223,13950.0
224,13990.0
225,13999.0
226,13999.0
227,14300.0
228,14450.0
229,14650.0
230,14999.0
231,15550.0
232,16900.0
233,17950.0
234,17950.0
235,18500.0
236,19700.0
237,13999.0
238,14300.0
239,14450.0
240,14650.0
241,14800.0
242,14900.0
243,14999.0
244,15300.0
245,15550.0
246,16600.0
247,16700.0
248,16900.0
249,16999.0
250,17000.0
251,17950.0
252,17950.0
253,18500.0
254,18600.0
255,19100.0
256,19700.0
257,19999.0
258,20000.0
259,20600.0
260,20900.0
261,21500.0
262,21500.0
263,21800.0
264,22500.0
265,22600.0
266,22900.0
267,23000.0
268,23000.0
269,23200.0
270,23500.0
271,23900.0
272,19900.0
273,19999.0
274,20000.0
275,20600.0
276,20900.0
277,21000.0
278,21500.0
279,21500.0
280,21800.0
281,22000.0
282,22500.0
283,22600.0
284,22900.0
285,23000.0
286,23000.0
287,23200.0
288,23200.0
289,23500.0
290,23900.0
291,24000.0
292,24050.0
293,24450.0
294,24450.0
295,24500.0
296,24750.0
297,24950.0
298,25450.0
299,25600.0
300,25800.0
301,25800.0
302,25900.0
303,26990.0
304,27250.0
305,27400.0
306,27500.0
307,24050.0
308,24450.0
309,24450.0
310,24500.0
311,24500.0
312,24750.0
313,24950.0
314,25000.0
315,25450.0
316,25500.0
317,25600.0
318,25800.0
319,25800.0
320,25900.0
321,26399.0
322,26400.0
323,26990.0
324,27250.0
325,27400.0
326,27500.0
