name,title,description
datasets/gov/aaa/:ns,,
datasets/gov/aad/:ns,,
datasets/gov/avnt/:ns,,
datasets/gov/bpc/:ns,,
datasets/gov/eso/:ns,,
datasets/gov/essc/:ns,Ekstremalių sveikatai situacijų centras,
datasets/gov/finmin/:ns,,
datasets/gov/giscentras/:ns,,
datasets/gov/gtc/:ns,,
datasets/gov/hi/:ns,,
datasets/gov/ird/:ns,Informatikos ir ryšių departamentas,Informatikos ir ryšių departamentas prie LR Vidaus reikalų ministerijos
datasets/gov/ivpk/:ns,,
datasets/gov/jra/:ns,,
datasets/gov/kaunas/:ns,,
datasets/gov/klaipedos_m_sav/:ns,Klaipėdos miesto savivaldybė,
datasets/gov/klaipedos_r_sav/:ns,Klaipėdos rajono savivaldybė,
datasets/gov/lbek/:ns,,
datasets/gov/lgt/:ns,,
datasets/gov/lhmt/:ns,,
datasets/gov/lkd/:ns,,
datasets/gov/lki/:ns,,
datasets/gov/lnb/:ns,,
datasets/gov/lpt/:ns,Lošimų priežiūros tarnyba,
datasets/gov/lrsk/:ns,Lietuvos Respublikos Seimo Kanceliarija,
datasets/gov/lsd/:ns,,
datasets/gov/lst/:ns,,
datasets/gov/ltsa/:ns,,
datasets/gov/marijampole/:ns,Marijampolės savivaldybė,
datasets/gov/marijampoles_sav/:ns,,
datasets/gov/migracija/:ns,,
datasets/gov/miskai/:ns,,
datasets/gov/mita/:ns,,
datasets/gov/nma/:ns,,
datasets/gov/nsa/:ns,,
datasets/gov/ntakd/:ns,,
datasets/gov/ntb/:ns,,
datasets/gov/nvi/:ns,,
datasets/gov/nvsc/:ns,,
datasets/gov/nzt/:ns,,
datasets/gov/on/:ns,Oro Navigacija,AB Oro Navigacija
datasets/gov/pkpd/:ns,,
datasets/gov/rc/:ns,,
datasets/gov/rpl/:ns,Rokiškio psichiatrijos ligoninė,
datasets/gov/rplc/:ns,,
datasets/gov/rppc/:ns,,
datasets/gov/rsc/:ns,,
datasets/gov/sadm/:ns,,
datasets/gov/sakiai/:ns,,
datasets/gov/siauliai/:ns,,
datasets/gov/ssva/:ns,,
datasets/gov/sumin/:ns,,
datasets/gov/tka/:ns,,
datasets/gov/ukmlig/:ns,,
datasets/gov/vaspvt/:ns,,
datasets/gov/vat/:ns,,
datasets/gov/vgtpt/:ns,,
datasets/gov/vk/:ns,,
datasets/gov/vlk/:ns,,
datasets/gov/vlkk/:ns,,
datasets/gov/vmi/:ns,,
datasets/gov/vmvt/:ns,,
datasets/gov/vpt/:ns,,
datasets/gov/vstt/:ns,,
datasets/gov/vtpsi/:ns,,
datasets/gov/vulzk/:ns,,
datasets/gov/vvkd/:ns,AB Vidaus vandens kelių direkcija,
datasets/gov/vvtat/:ns,Valstybinė vartotojų teisių apsaugos tarnyba,
